nama_upt,jenis_upt,kelas_upt,subjenis_upt,provinsi,kanwil,kabupaten_kota,alamat,latitude,longitude,coordinate_quality,coordinate_source,coordinate_score,location_hint,aktif,catatan_verifikasi
Lapas Perempuan Kelas III Gorontalo,Lapas,III,Perempuan,Gorontalo,Kantor Wilayah Ditjenpas Gorontalo,Gorontalo Utara,,0.86619755,123.04952863746922,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,GORONTALO,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Jambi,Lapas,IIA,Umum,Jambi,Kantor Wilayah Ditjenpas Jambi,Muaro Jambi,,-1.7076543499999999,103.78608017766149,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,JAMBI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Bangko,Lapas,IIB,Umum,Jambi,Kantor Wilayah Ditjenpas Jambi,Merangin,,-2.20844725,102.11710643989184,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,MERANGIN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Kuala Tungkal,Lapas,IIB,Umum,Jambi,Kantor Wilayah Ditjenpas Jambi,Tanjung Jabung Barat,,-0.9831039500000001,103.26924725298417,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,TANJUNG JABUNG BARAT,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Muara Bulian,Lapas,IIB,Umum,Jambi,Kantor Wilayah Ditjenpas Jambi,Batanghari,,-1.8592387499999998,103.00750018582107,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BATANGHARI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Muara Bungo,Lapas,IIB,Umum,Jambi,Kantor Wilayah Ditjenpas Jambi,Bungo,,-1.5151875499999998,101.9989364777984,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BUNGO,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Muara Tebo,Lapas,IIB,Umum,Jambi,Kantor Wilayah Ditjenpas Jambi,Tebo,,-1.3884531,102.44058987594906,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,TEBO,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Sarolangun,Lapas,IIB,Umum,Jambi,Kantor Wilayah Ditjenpas Jambi,Sarolangun,,-2.3312458,102.62753289964513,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SAROLANGUN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIB Muara Sabak,Lapas,IIB,Narkotika,Jambi,Kantor Wilayah Ditjenpas Jambi,Tanjung Jabung Timur,,-1.17728865,104.228481773879,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,TANJUNG JABUNG TIMUR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIB Jambi,Lapas,IIB,Perempuan,Jambi,Kantor Wilayah Ditjenpas Jambi,Muaro Jambi,,-1.7076543499999999,103.78608017766149,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,JAMBI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Sungai Penuh,Rutan,IIB,Umum,Jambi,Kantor Wilayah Ditjenpas Jambi,Kota Sungai Penuh,,-2.049119159227775,101.34913454018543,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,KOTA SUNGAI PENUH,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas I Cirebon,Lapas,I,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Cirebon,,-6.7137044,108.5608483,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,CIREBON,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas I Sukamiskin,Lapas,I,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bandung Barat,,-6.89775405,107.41242936450845,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BANDUNG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Banceuy Bandung,Lapas,IIA,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bandung Barat,,-6.89775405,107.41242936450845,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BANDUNG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Bekasi,Lapas,IIA,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bekasi,,-6.2349858,106.9945444,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BEKASI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Bogor,Lapas,IIA,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bogor,,-6.5962986,106.7972421,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BOGOR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Cibinong,Lapas,IIA,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bogor,,-6.5962986,106.7972421,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BOGOR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Cikarang,Lapas,IIA,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bekasi,,-6.2349858,106.9945444,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BEKASI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Karawang,Lapas,IIA,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Karawang,,-6.3021906,107.3046116,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,KARAWANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Kuningan,Lapas,IIA,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Kuningan,,-6.9869841,108.5538158340074,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,KUNINGAN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Subang,Lapas,IIA,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Subang,,-6.49838875,107.73954601355435,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SUBANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Banjar,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Kota Banjar,,-7.391726365059707,108.61501188214156,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANJAR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Ciamis,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Ciamis,,-7.313159300000001,108.40489379583816,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,CIAMIS,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Cianjur,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Cianjur,,-7.0542441,107.06914276067964,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,CIANJUR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Garut,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Garut,,-7.2162543,107.9014912,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,GARUT,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Indramayu,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Indramayu,,-6.4418536500000005,108.17654724128828,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,INDRAMAYU,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Majalengka,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Majalengka,,-6.8073627,108.27878604491181,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,MAJALENGKA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Purwakarta,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Purwakarta,,-6.5527796,107.4465323,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,PURWAKARTA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Sukabumi,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Sukabumi,,-6.9199289,106.9265095,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SUKABUMI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Sumedang,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Sumedang,,-6.80987135,107.98177315918636,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SUMEDANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Tasikmalaya,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Tasikmalaya,,-7.3262484,108.2201154,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,TASIKMALAYA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Warung Kiara,Lapas,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Sukabumi,,-6.9199289,106.9265095,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,SUKABUMI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Khusus Kelas IIA Gunung Sindur,Lapas,IIA,Khusus,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bogor,,-6.5962986,106.7972421,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BOGOR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Khusus Kelas IIB Sentul,Lapas,IIB,Khusus,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bogor,,-6.5962986,106.7972421,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BOGOR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIA Bandung,Lapas,IIA,Narkotika,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bandung Barat,,-6.89775405,107.41242936450845,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANDUNG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIA Cirebon,Lapas,IIA,Narkotika,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Cirebon,,-6.7137044,108.5608483,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,CIREBON,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIA Gunung Sindur,Lapas,IIA,Narkotika,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bogor,,-6.5962986,106.7972421,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BOGOR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIA Bandung,Lapas,IIA,Perempuan,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bandung Barat,,-6.89775405,107.41242936450845,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANDUNG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas I Bandung,Rutan,I,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bandung Barat,,-6.89775405,107.41242936450845,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANDUNG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas I Cirebon,Rutan,I,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Cirebon,,-6.7137044,108.5608483,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,CIREBON,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas I Depok,Rutan,I,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Kota Depok,,-6.429776863206949,106.74268947655634,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,DEPOK,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Garut,Rutan,IIB,Umum,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Garut,,-7.2162543,107.9014912,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,GARUT,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Perempuan Kelas IIA Bandung,Rutan,IIA,Perempuan,Jawa Barat,Kantor Wilayah Ditjenpas Jawa Barat,Bandung Barat,,-6.89775405,107.41242936450845,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANDUNG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas I Batu High Risk Narkotika Nusakambangan,Lapas,I,Narkotika,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Cilacap,,-7.46167105,108.80461463117007,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,CILACAP,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas I Semarang,Lapas,I,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Semarang,,-6.9903988,110.4229104,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SEMARANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Ambarawa,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Semarang,,-6.9903988,110.4229104,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,SEMARANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Besi Nusakambangan,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Cilacap,,-7.46167105,108.80461463117007,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,CILACAP,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Kembang Kuning Nusakambangan,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Cilacap,,-7.46167105,108.80461463117007,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,CILACAP,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Kendal,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Kendal,,-7.01909655,110.13747567422602,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,KENDAL,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Magelang,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Magelang,,-7.4770747,110.2182164,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,MAGELANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Pasir Putih Nusakambangan,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Cilacap,,-7.46167105,108.80461463117007,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,CILACAP,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Pekalongan,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Pekalongan,,-6.8905065,109.6761489,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,PEKALONGAN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Permisan Nusakambangan,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Cilacap,,-7.46167105,108.80461463117007,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,CILACAP,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Purwokerto,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Banyumas,,-7.45507165,109.11674648495966,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BANYUMAS,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Sragen,Lapas,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Sragen,,-7.3924563,110.95302317792749,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SRAGEN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Brebes,Lapas,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Brebes,,-7.05207115,108.88813597074842,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BREBES,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Cilacap,Lapas,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Cilacap,,-7.46167105,108.80461463117007,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,CILACAP,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Klaten,Lapas,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Klaten,,-7.67322225,110.6285188463433,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,KLATEN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Pati,Lapas,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Pati,,-6.707092449999999,111.08700759039746,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,PATI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Slawi,Lapas,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Tegal,,-6.86981145,109.11506461278614,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,TEGAL,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Tegal,Lapas,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Tegal,,-6.86981145,109.11506461278614,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,TEGAL,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Khusus Kelas IIA Karanganyar,Lapas,IIA,Khusus,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Karanganyar,,-7.6196965,111.06980026754411,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,KARANGANYAR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIA Nusakambangan,Lapas,IIA,Narkotika,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Cilacap,,-7.46167105,108.80461463117007,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,CILACAP,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIB Purwokerto,Lapas,IIB,Narkotika,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Banyumas,,-7.45507165,109.11674648495966,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BANYUMAS,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Pemuda Kelas IIB Plantungan,Lapas,IIB,Pemuda,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Kendal,,-7.01909655,110.13747567422602,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,KENDAL,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIA Semarang,Lapas,IIA,Perempuan,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Semarang,,-6.9903988,110.4229104,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SEMARANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Terbuka Kelas IIB Kendal,Lapas,IIB,Terbuka,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Kendal,,-7.01909655,110.13747567422602,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,KENDAL,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Terbuka Kelas IIB Nusakambangan,Lapas,IIB,Terbuka,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Cilacap,,-7.46167105,108.80461463117007,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,CILACAP,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas I Surakarta,Rutan,I,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Kota Surakarta,,-7.5472335,110.8175534,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SURAKARTA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIA Pekalongan,Rutan,IIA,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Pekalongan,,-6.8905065,109.6761489,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,PEKALONGAN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Banjarnegara,Rutan,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Banjarnegara,,-7.355873300000001,109.66007275599358,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANJARNEGARA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Banyumas,Rutan,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Banyumas,,-7.45507165,109.11674648495966,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANYUMAS,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Batang,Rutan,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Batang,,-7.03235465,109.86795298436223,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BATANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Blora,Rutan,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Blora,,-6.9691528,111.4130521,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BLORA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Boyolali,Rutan,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Boyolali,,-7.387211799999999,110.70386905900187,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BOYOLALI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Demak,Rutan,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Demak,,-6.9229075,110.63509725731818,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,DEMAK,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Jepara,Rutan,IIB,Umum,Jawa Tengah,Kantor Wilayah Ditjenpas Jawa Tengah,Jepara,,-6.5899148,110.6672987,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,JEPARA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
