nama_upt,jenis_upt,kelas_upt,subjenis_upt,provinsi,kanwil,kabupaten_kota,alamat,latitude,longitude,coordinate_quality,coordinate_source,coordinate_score,location_hint,aktif,catatan_verifikasi
Lapas Narkotika Kelas IIB Langsa,Lapas,IIB,Narkotika,Aceh,Kantor Wilayah Ditjenpas Aceh,Kota Langsa,,4.468682665859419,97.89864952250001,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,LANGSA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIB Sigli,Lapas,IIB,Perempuan,Aceh,Kantor Wilayah Ditjenpas Aceh,Pidie Jaya,,5.10477095,96.21166763608278,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,PIDIE,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Banda Aceh,Rutan,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Kota Banda Aceh,,5.554926868197542,95.35661408701579,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANDA ACEH,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Bener Meriah,Rutan,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Bener Meriah,,4.77387985,96.97800363035068,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BENER MERIAH,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Jantho,Rutan,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Besar,,5.3542491000000005,95.49615075465553,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH BESAR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Sabang,Rutan,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Kota Sabang,,5.831883799668605,95.36353087534283,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SABANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Sigli,Rutan,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Pidie Jaya,,5.10477095,96.21166763608278,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,PIDIE,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Singkel,Rutan,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Singkil,,2.37587935,97.92442948748499,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH SINGKIL,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Takengon,Rutan,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Tengah,,4.564266999999999,96.96189262635659,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH TENGAH,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Tapaktuan,Rutan,IIB,Umum,Aceh,Kantor Wilayah Ditjenpas Aceh,Aceh Selatan,,3.0679790000000002,97.4687714679478,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,ACEH SELATAN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Kerobokan,Lapas,IIA,Umum,Bali,Kantor Wilayah Ditjenpas Bali,Badung,,-8.644872450000001,115.13590456876861,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BADUNG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Karangasem,Lapas,IIB,Umum,Bali,Kantor Wilayah Ditjenpas Bali,Karangasem,,-8.335561649999999,115.6170729902346,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,KARANGASEM,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Singaraja,Lapas,IIB,Umum,Bali,Kantor Wilayah Ditjenpas Bali,Buleleng,,-7.8428262,115.19702946173408,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BULELENG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Tabanan,Lapas,IIB,Umum,Bali,Kantor Wilayah Ditjenpas Bali,Tabanan,,-8.5566523,115.00131214613668,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,TABANAN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIA Bangli,Lapas,IIA,Narkotika,Bali,Kantor Wilayah Ditjenpas Bali,Bangli,,-8.333336200000002,115.36828121658453,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANGLI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIA Denpasar,Lapas,IIA,Perempuan,Bali,Kantor Wilayah Ditjenpas Bali,Kota Denpasar,,-8.614589167953891,115.22669913016804,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,DENPASAR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Bangli,Rutan,IIB,Umum,Bali,Kantor Wilayah Ditjenpas Bali,Bangli,,-8.333336200000002,115.36828121658453,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANGLI,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Gianyar,Rutan,IIB,Umum,Bali,Kantor Wilayah Ditjenpas Bali,Gianyar,,-8.70451175,115.35232183794045,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,GIANYAR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Klungkung,Rutan,IIB,Umum,Bali,Kantor Wilayah Ditjenpas Bali,Klungkung,,-8.74460265,115.55754419275121,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,KLUNGKUNG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Negara,Rutan,IIB,Umum,Bali,Kantor Wilayah Ditjenpas Bali,Jembrana,,-8.3955784,114.70546114941027,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,JEMBRANA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas I Tangerang,Lapas,I,Umum,Banten,Kantor Wilayah Ditjenpas Banten,Kota Tangerang Selatan,,-6.355866971669476,106.7134462955451,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,TANGERANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Cilegon,Lapas,IIA,Umum,Banten,Kantor Wilayah Ditjenpas Banten,Kota Cilegon,,-6.0163386296231955,106.03634140120779,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,CILEGON,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Serang,Lapas,IIA,Umum,Banten,Kantor Wilayah Ditjenpas Banten,Serang,,-6.1169662,106.1518079,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SERANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Tangerang,Lapas,IIA,Umum,Banten,Kantor Wilayah Ditjenpas Banten,Kota Tangerang Selatan,,-6.355866971669476,106.7134462955451,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,TANGERANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas III Rangkasbitung,Lapas,III,Umum,Banten,Kantor Wilayah Ditjenpas Banten,Lebak,,-6.6432601,106.18727177777018,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,LEBAK,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Pemuda Kelas IIA Tangerang,Lapas,IIA,Pemuda,Banten,Kantor Wilayah Ditjenpas Banten,Kota Tangerang Selatan,,-6.355866971669476,106.7134462955451,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,TANGERANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIA Tangerang,Lapas,IIA,Perempuan,Banten,Kantor Wilayah Ditjenpas Banten,Kota Tangerang Selatan,,-6.355866971669476,106.7134462955451,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,TANGERANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Terbuka Kelas IIB Ciangir,Lapas,IIB,Terbuka,Banten,Kantor Wilayah Ditjenpas Banten,Kota Tangerang Selatan,,-6.355866971669476,106.7134462955451,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,TANGERANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas I Tangerang,Rutan,I,Umum,Banten,Kantor Wilayah Ditjenpas Banten,Kota Tangerang Selatan,,-6.355866971669476,106.7134462955451,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,TANGERANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Pandeglang,Rutan,IIB,Umum,Banten,Kantor Wilayah Ditjenpas Banten,Pandeglang,,-6.547376549999999,105.79948786292081,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,PANDEGLANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Serang,Rutan,IIB,Umum,Banten,Kantor Wilayah Ditjenpas Banten,Serang,,-6.1169662,106.1518079,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SERANG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Bengkulu,Lapas,IIA,Umum,Bengkulu,Kantor Wilayah Ditjenpas Bengkulu,Bengkulu Selatan,,-4.3589877,103.00203887965941,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BENGKULU,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Curup,Lapas,IIA,Umum,Bengkulu,Kantor Wilayah Ditjenpas Bengkulu,Rejang Lebong,,-3.4389041000000002,102.69848531445534,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,REJANG LEBONG,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Argamakmur,Lapas,IIB,Umum,Bengkulu,Kantor Wilayah Ditjenpas Bengkulu,Bengkulu Utara,,-3.1891332500000003,101.85764183852012,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BENGKULU UTARA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIB Bengkulu,Lapas,IIB,Perempuan,Bengkulu,Kantor Wilayah Ditjenpas Bengkulu,Bengkulu Selatan,,-4.3589877,103.00203887965941,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BENGKULU,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Bengkulu,Rutan,IIB,Umum,Bengkulu,Kantor Wilayah Ditjenpas Bengkulu,Bengkulu Selatan,,-4.3589877,103.00203887965941,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BENGKULU,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Manna,Rutan,IIB,Umum,Bengkulu,Kantor Wilayah Ditjenpas Bengkulu,Bengkulu Selatan,,-4.3589877,103.00203887965941,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,BENGKULU SELATAN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Yogyakarta,Lapas,IIA,Umum,D.I. Yogyakarta,Kantor Wilayah Ditjenpas D.I. Yogyakarta,Kota Yogyakarta,,-7.8261393237615815,110.40212575573844,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,YOGYAKARTA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Sleman,Lapas,IIB,Umum,D.I. Yogyakarta,Kantor Wilayah Ditjenpas D.I. Yogyakarta,Sleman,,-7.6902467,110.3419864,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,SLEMAN,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIA Yogyakarta,Lapas,IIA,Narkotika,D.I. Yogyakarta,Kantor Wilayah Ditjenpas D.I. Yogyakarta,Kota Yogyakarta,,-7.8261393237615815,110.40212575573844,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,YOGYAKARTA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIB Yogyakarta,Lapas,IIB,Perempuan,D.I. Yogyakarta,Kantor Wilayah Ditjenpas D.I. Yogyakarta,Kota Yogyakarta,,-7.8261393237615815,110.40212575573844,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,YOGYAKARTA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIA Yogyakarta,Rutan,IIA,Umum,D.I. Yogyakarta,Kantor Wilayah Ditjenpas D.I. Yogyakarta,Kota Yogyakarta,,-7.8261393237615815,110.40212575573844,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,YOGYAKARTA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Bantul,Rutan,IIB,Umum,D.I. Yogyakarta,Kantor Wilayah Ditjenpas D.I. Yogyakarta,Bantul,,-7.8877454,110.3274139,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BANTUL,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Wates,Rutan,IIB,Umum,D.I. Yogyakarta,Kantor Wilayah Ditjenpas D.I. Yogyakarta,Kulon Progo,,-7.8123076000000005,110.14798278891979,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,KULON PROGO,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas IIB Wonosari,Rutan,IIB,Umum,D.I. Yogyakarta,Kantor Wilayah Ditjenpas D.I. Yogyakarta,Gunungkidul,,-7.9930377,110.55793090404615,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,GUNUNGKIDUL,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
